ref;auteur;heros;titre;serie;prixPublic;prixEditeur;genre;refEdit;editeur;refFournisseur;fournisseur;resume;;
BD000022;BILAL;;LOS ANGELES - VERSION NORMALE;;18.29;17.6;;6949;AUTREMENT;;LE SEUIL;;;
BD000023;BILAL / CHRISTIN;CORRESPONDANCES DE PIERRE CHRISTIN;LE SARCOPHAGE;;12.96;12.31;;14517;DARGAUD;;MDS;;;
BD000024;DRUILLET / DEMUTH;YRAGAEL;YRAGAEL - T1;;13.57;12.89;;6055354;ALBIN MICHEL;2226121137;HACHETTE;Ceci est l'histoire de la chute du tout dernier empire sur terre, quand elle portait l'empreinte des Dieux créateurs qui assistèrent à l'éclosion de l'univers. Ceci concerne la cité de Sphardin, coeur desséché du royaume de Cèmèroon. la face de la terre qui abritait l'oeil du cosmos initial, dont le Vortex était la pupille, un puits de néant et d'étoiles ouvert sur le passé et le devenir. Ceci est le récit d'Yragaël, porteur de la vision, héritier du trône de Spharaïn et de sa lutte effrayante contre son frère fou, Saber d'Irismonde. Ceci est la ballade du plus fragile et terrifiant amour que jamais un mâle noble porta à une magicienne. Et ceci est aussi et surtout la complainte de la fin des hommes...;;
BD000025;GOSCINNY / UDERZO;ASTERIX;LA ROSE ET LE GLAIVE;;8.54;8.11;HUMOUR;5030168;ALBERT RENE;9782864970538;HACHETTE;;;
BD000026;DRUILLET;;LA NUIT;;13.57;12.89;;6055362;SEFAM;;HACHETTE;;;
BD000027;DRUILLET / DOISNEAU;;PARIS DE FOUS;;37.35;35.48;;16680;DARGAUD;;MDS;;;
BD000028;FERRANDEZ;;NOSTALGIA IN TIME SQUARE;;3.35;3.35;;9556593;FUTUROPOLIS;;SODIS;;;
BD000029;FERRANDEZ / CHRISTIN;;CHEZ LES CHEIKHS;;12.96;12.31;;14511;DARGAUD;;MDS;A gauche, le désert des déserts, celui de Lawrence d'Arabie. A droite, une monstrueuse usine de déssalement des eaux. Devant, une femme-oiseau avec son masque scintillant. Derrière, des puits de pétrole plantés en pleine mer.<br><br>Voyage dans l'espace-temps aux Emirats Arabes Unis.;;
BD000030;SAINT MARC;SAD' CLUB;LES ESCLAVES DE DUENA - T2;;18.29;18.29;EROTIQUE;F903;LA MUSARDINE;;LA MUSARDINE;Album illustré Grand Format - Textes à droite et dessins à gauche - Les fantasmes sado-masochistes d'un auteur disciple de Joseph Farel.;;
BD000031;GOSCINNY / UDERZO;ASTERIX;LA GALERE D'OBELIX;;8.54;8.11;HUMOUR;5030093;ALBERT RENE;9782864970965;HACHETTE;;;
BD000032;GOSCINNY / UDERZO;ASTERIX;LA GALERE D'OBELIX - VERSION SEMI LUXE;;18.29;17.6;HUMOUR;5030606;ALBERT RENE;9782864971122;HACHETTE;;;
BD000033;GOSCINNY / UDERZO;ASTERIX;ASTERIX ET LA SURPRISE DE CESAR;;8.69;8.26;HUMOUR;5030044;ALBERT RENE;9782864970156;HACHETTE;;;
BD000034;GOSCINNY / UDERZO;ASTERIX;LE COUP DU MENHIR;;8.08;7.68;HUMOUR;5030051;ALBERT RENE;9782864970491;HACHETTE;;;
BD000035;GOSCINNY / UDERZO;ASTERIX;ASTERIX ET LES INDIENS;;8.08;7.68;HUMOUR;5030507;ALBERT RENE;9782864970842;HACHETTE;;;
BD000036;GOSCINNY / UDERZO;ASTERIX;COMMENT OBELIX EST TOMBE DANS LA MARMITE;;7.17;6.81;HUMOUR;5030069;ALBERT RENE;9782864970392;HACHETTE;Il fallait bien qu'un jour la vérité éclate. Qu'un jour enfin, l' Humanité sache le fin mot de ce mystère qui la tient en haleine depuis plus de deux mille ans. Car si l'on n'ignore pas qu' Obélix est tombé dans la marmite de potion magique quand il était petit, on ne sait pas comment. Eh bien ! L' heure est venue. Et dans la mesure où il porte sa part de responsabilité dans cette sombre affaire, nous avons demandé à Astérix de tout vous dire. Alors, fiat lux !;;
BD000037;;ASTERIX;UDERZO DE FLAMBERGE A ASTERIX;;27.44;26.07;HUMOUR;5030077;ALBERT RENE;9782905336002;HACHETTE;Plan de l'ouvrage : Le Temps des Réglisses 1927 à 1940 - Le Temps des Tickets 1940 à 1945 - Le Temps des Essais 1945 à 1959 - Le Temps de Pilote 1959 à 1961 - L'Ere d'Astérix 1961;;
